"","CUI","SDUI.x","CODE.y","STR.x"
"88","C0085076","D016462","19366","Breast Reconstructions"
"89","C0020043","D006792","99600","Call, House"
"90","C0020043","D006792","1013774","Call, House"
"91","C0020043","D006792","99600","Calls, House"
"92","C0020043","D006792","1013774","Calls, House"
"93","C0006778","D002150","92533","Caloric Test"
"94","C0006778","D002150","92533","Caloric Tests"
"95","C0018795","D006328","1013071","Cardiac Catheterizations"
"96","C0018823","D016027","33945","Cardiac Transplantations"
"97","C0007203","D016887","92950","Cardio Pulmonary Resuscitation"
"98","C0007203","D016887","92950","Cardiopulmonary Resuscitation"
"99","C0037265","D012866","1021887","Care Facilities, Extended"
"100","C0037265","D012866","1021887","Care Facility, Extended"
"101","C0085555","D017051","1021890","Care, Hospice"
"102","C0032782","D011181","59430","Care, Postnatal"
"103","C0040405","D014057","76497","CAT Scans, X-Ray"
"104","C0018795","D006328","1013071","Catheterizations, Cardiac"
"105","C0018795","D006328","1013071","Catheterizations, Heart"
"106","C0085142","D016550","1021885","Center, Birth"
"107","C0085142","D016550","1021885","Center, Birthing"
"108","C0035960","D019035","1021907","Center, Rural Health"
"109","C0085142","D016550","1021885","Centers, Birth"
"110","C0085142","D016550","1021885","Centers, Birthing"
"111","C0035960","D019035","1021907","Centers, Rural Health"
"112","C0007876","D002585","59514","Cesarean Section"
"113","C0007876","D002585","1008991","Cesarean Section"
"114","C0007876","D002585","59514","Cesarean Sections"
"115","C0007876","D002585","1008991","Cesarean Sections"
"116","C0007979","D002615","15793","Chemexfoliation"
"117","C0007979","D002615","15793","Chemexfoliations"
"118","C0008310","D002760","1007283","Cholangiopancreatographies, Endoscopic Retrograde"
"119","C0008310","D002760","1007283","Cholangiopancreatography, Endoscopic Retrograde"
"120","C0008320","D002763","47600","Cholecystectomies"
"121","C0008320","D002763","1014153","Cholecystectomies"
"122","C0008320","D002763","47600","Cholecystectomy"
"123","C0008320","D002763","1014153","Cholecystectomy"
"124","C0008509","D015193","59015","Chorionic Villi Biopsies"
"125","C0008509","D015193","59015","Chorionic Villi Biopsy"
"126","C0008509","D015193","59015","Chorionic Villi Sampling"
"127","C0008509","D015193","59015","Chorionic Villi Samplings"
"128","C0008509","D015193","59015","Chorionic Villus Samplings"
"129","C0008797","D002933","76120","Cinefluorographies"
"130","C0008797","D002933","76125","Cinefluorographies"
"131","C0008797","D002933","76120","Cineradiographies"
"132","C0008797","D002933","76125","Cineradiographies"
"133","C0008797","D002933","76120","Cineradiography"
"134","C0008797","D002933","76125","Cineradiography"
"135","C0009069","D003018","85170","Clot Retraction"
"136","C0009069","D003018","85170","Clot Retractions"
"137","C0005790","D001780","1011784","Coagulation Test, Blood"
"138","C0009378","D003113","1007622","Colonoscopies"
"139","C0009378","D003113","1007622","Colonoscopy"
"140","C0009410","D003125","44320","Colostomies"
"141","C0009410","D003125","44320","Colostomy"
"142","C0009418","D020884","1008717","Colpotomies"
"143","C0009418","D020884","1008718","Colpotomies"
"144","C0009418","D020884","1008717","Colpotomy"
"145","C0009418","D020884","1008718","Colpotomy"
"146","C0009474","D003155","1021897","Community Mental Health Centers"
"147","C0005791","D001781","1006686","Component Removal, Blood"
"148","C0005791","D001781","1006686","Component Removals, Blood"
"149","C0085430","D016913","36430","Component Transfusion, Blood"
"150","C0085430","D016913","36430","Component Transfusions, Blood"
"151","C0040405","D014057","76497","Computed Tomography, Xray"
"152","C0040405","D014057","76497","Computed X-Ray Tomography"
"153","C0010042","D016039","1009786","Cornea Transplantations"
"154","C0010042","D016039","1009787","Cornea Transplantations"
"155","C0010042","D016039","1009786","Corneal Grafting"
"156","C0010042","D016039","1009787","Corneal Grafting"
"157","C0010042","D016039","1009786","Corneal Graftings"
"158","C0010042","D016039","1009787","Corneal Graftings"
"159","C0010042","D016039","1009786","Corneal Transplantation"
"160","C0010042","D016039","1009787","Corneal Transplantation"
"161","C0010042","D016039","1009786","Corneal Transplantations"
"162","C0010042","D016039","1009787","Corneal Transplantations"
"163","C0010210","D003376","1014980","Counseling"
"164","C0005771","D001772","1011761","Count, Blood Cell"
"165","C0023508","D007958","85004","Count, Leukocyte"
"166","C0037842","D013076","89310","Count, Sperm"
"167","C0037842","D013076","89320","Count, Sperm"
"168","C0037842","D013076","89322","Count, Sperm"
"169","C0037842","D013076","89300","Count, Sperm"
"170","C0010214","D003378","86185","Countercurrent Immunoelectrophoresis"
"171","C0010214","D003378","86185","Counterimmunoelectrophoresis"
"172","C0005771","D001772","1011761","Counts, Blood Cell"
"173","C0023508","D007958","85004","Counts, Leukocyte"
"174","C0037842","D013076","89310","Counts, Sperm"
"175","C0037842","D013076","89320","Counts, Sperm"
"176","C0037842","D013076","89322","Counts, Sperm"
"177","C0037842","D013076","89300","Counts, Sperm"
"178","C0021001","D007123","86327","Crossed Immunoelectrophoresis"
"179","C0010214","D003378","86185","Crossover Immunoelectrophoresis"
"180","C0010405","D015925","1020529","Cryopreservation"
"181","C0010405","D015925","1012534","Cryopreservation"
"182","C0040405","D014057","76497","CT X Rays"
"183","C0010651","D015653","1008245","Cystectomies"
"184","C0010651","D015653","1008245","Cystectomy"
"185","C0016263","D005434","88184","Cytofluorometries, Flow"
"186","C0016263","D005434","88185","Cytofluorometries, Flow"
"187","C0016263","D005434","88184","Cytometries, Flow"
"188","C0016263","D005434","88185","Cytometries, Flow"
"189","C0010931","D003608","68720","Dacryocystorhinostomies"
"190","C0010931","D003608","68720","Dacryocystorhinostomy"
"191","C0007876","D002585","59514","Deliveries, Abdominal"
"192","C0007876","D002585","1008991","Deliveries, Abdominal"
"193","C0039038","D013562","1009664","Denervations, Sympathetic"
"194","C0039038","D013562","1009669","Denervations, Sympathetic"
"195","C0011593","D003869","15783","Dermabrasion"
"196","C0011593","D003869","15782","Dermabrasion"
"197","C0011593","D003869","1003485","Dermabrasion"
"198","C0011593","D003869","15783","Dermabrasions"
"199","C0011593","D003869","15782","Dermabrasions"
"200","C0011593","D003869","1003485","Dermabrasions"
"201","C0011946","D006435","1012740","Dialyses, Renal"
"202","C0017231","D005779","1011937","Diffusion Test, Gel"
"203","C0017231","D005779","1011937","Diffusion Tests, Gel"
"204","C0039814","D013819","77331","Dosimetries, Thermoluminescent"
"205","C0039814","D013819","77331","Dosimetry, Thermoluminescent"
"206","C0013516","D004452","1013050","Echocardiography"
"207","C0013805","D001300","92584","Electrocochleographies"
"208","C0013819","D004569","1013322","Electroencephalography"
"209","C0013839","D004576","1013340","Electromyographies"
"210","C0013839","D004576","1013340","Electromyography"
"211","C0013855","D004586","82664","Electrophoreses"
"212","C0013855","D004586","82664","Electrophoresis"
"213","C0013938","D004624","58974","Embryo Transfer"
"214","C0013938","D004624","58974","Embryo Transfers"
"215","C0013961","D004632","ET","Emergency Medical Service"
"216","C0013961","D004632","ET","Emergency Medical Services"
"217","C0008310","D002760","1007283","Endoscopic Retrograde Cholangiopancreatographies"
"218","C0020710","D015907","58555","Endoscopies, Uterine"
"219","C0015400","D015353","65101","Enucleation, Eye"
"220","C0015400","D015353","1009733","Enucleation, Eye"
"221","C0015400","D015353","65101","Enucleations, Eye"
"222","C0015400","D015353","1009733","Enucleations, Eye"
"223","C0014586","D004841","59300","Episiotomies"
"224","C0014586","D004841","59300","Episiotomy"
"225","C0018935","D006400","85014","Erythrocyte Volumes, Packed"
"226","C0085198","D016629","1007219","Esophagectomies"
"227","C0085198","D016629","1007219","Esophagectomy"
"228","C0079304","D016145","1021431","Esophagogastroduodenoscopies"
"229","C0014872","D004944","43330","Esophagoplasties"
"230","C0014872","D004944","43331","Esophagoplasties"
"231","C0014872","D004944","1007298","Esophagoplasties"
"232","C0014872","D004944","43330","Esophagoplasty"
"233","C0014872","D004944","43331","Esophagoplasty"
"234","C0014872","D004944","1007298","Esophagoplasty"
"235","C0014873","D004945","1007241","Esophagoscopies"
"236","C0014873","D004945","1007241","Esophagoscopy"
"237","C0021587","D007315","1008854","Eutelegeneses"
"238","C0031809","D010808","1014526","Examinations, Physical"
"239","C0015236","D005078","36455","Exchange Transfusion, Whole Blood"
"240","C0015236","D005078","36450","Exchange Transfusion, Whole Blood"
"241","C0015236","D005078","1006667","Exchange Transfusion, Whole Blood"
"242","C0037265","D012866","1021887","Extended Care Facility"
"243","C0015400","D015353","65101","Eye Enucleation"
"244","C0015400","D015353","1009733","Eye Enucleation"
"245","C0015400","D015353","65101","Eye Enucleations"
"246","C0015400","D015353","1009733","Eye Enucleations"
"247","C0037265","D012866","1021887","Facilities, Extended Care"
"248","C0037265","D012866","1021887","Facility, Extended Care"
"249","C0037265","D012866","1021887","Facility, Skilled Nursing"
"250","C0015618","D005196","90846","Family Therapies"
"251","C0015618","D005196","90846","Family Therapy"
"252","C0015915","D005307","1008937","Fertilization in Vitro"
"253","C0015915","D005307","1008937","Fertilization, Test-Tube"
"254","C0015915","D005307","1008937","Fertilizations, Test-Tube"
"255","C0015945","D005323","59051","Fetal Monitoring"
"256","C0015945","D005323","59050","Fetal Monitoring"
"257","C0015945","D005323","59051","Fetal Monitorings"
"258","C0015945","D005323","59050","Fetal Monitorings"
"259","C0005843","D001805","36460","Fetal Transfusions"
"260","C0032716","D011167","37140","Fistula, Eck"
"261","C0016263","D005434","88184","Flow Cytofluorometries"
"262","C0016263","D005434","88185","Flow Cytofluorometries"
"263","C0016263","D005434","88184","Flow Cytofluorometry"
"264","C0016263","D005434","88185","Flow Cytofluorometry"
"265","C0016263","D005434","88184","Flow Cytometries"
"266","C0016263","D005434","88185","Flow Cytometries"
"267","C0016263","D005434","88184","Flow Cytometry"
"268","C0016263","D005434","88185","Flow Cytometry"
"269","C0016263","D005434","88184","Flow Microfluorometries"
"270","C0016263","D005434","88185","Flow Microfluorometries"
"271","C0016263","D005434","88184","Flow Microfluorometry"
"272","C0016263","D005434","88185","Flow Microfluorometry"
"273","C0016313","D005451","92235","Fluorescein Angiography"
"274","C0016356","D005471","76001","Fluoroscopies"
"275","C0016356","D005471","76000","Fluoroscopies"
"276","C0016356","D005471","76001","Fluoroscopy"
"277","C0016356","D005471","76000","Fluoroscopy"
"278","C0032184","D010979","85597","Function Test, Platelet"
"279","C0032184","D010979","85576","Function Test, Platelet"
"280","C0032184","D010979","85597","Function Tests, Platelet"
"281","C0032184","D010979","85576","Function Tests, Platelet"
"282","C0016999","D015181","58976","Gamete Intrafallopian Transfer"
"283","C0005800","D001784","82805","Gas Analyses, Blood"
"284","C0005800","D001784","82803","Gas Analyses, Blood"
"285","C0005800","D001784","82805","Gas Analysis, Blood"
"286","C0005800","D001784","82803","Gas Analysis, Blood"
"287","C0042273","D014629","43641","Gastric Vagotomies, Proximal"
"288","C0042273","D014629","43641","Gastric Vagotomy, Proximal"
"289","C0017231","D005779","1011937","Gel Diffusion Test"
"290","C0017573","D005890","41820","Gingivectomies"
"291","C0017573","D005890","41820","Gingivectomy"
"292","C0017576","D005893","41872","Gingivoplasties"
"293","C0017576","D005893","41872","Gingivoplasty"
"294","C0017673","D005927","41120","Glossectomies"
"295","C0017673","D005927","1007046","Glossectomies"
"296","C0017673","D005927","41120","Glossectomy"
"297","C0017673","D005927","1007046","Glossectomy"
"298","C0017741","D005951","82952","Glucose Tolerance Test"
"299","C0017741","D005951","82951","Glucose Tolerance Test"
"300","C0018071","D006068","92020","Gonioscopies"
"301","C0018071","D006068","92020","Gonioscopy"
"302","C0018072","D014130","65820","Goniotomies"
"303","C0018833","D016041","1006332","Grafting, Heart Lung"
"304","C0010042","D016039","1009786","Graftings, Corneal"
"305","C0010042","D016039","1009787","Graftings, Corneal"
"306","C0018823","D016027","33945","Graftings, Heart"
"307","C0018833","D016041","1006332","Graftings, Heart-Lung"
"308","C0024128","D016040","32851","Graftings, Lung"
"309","C0024128","D016040","1006036","Graftings, Lung"
"310","C0030275","D016035","1007944","Graftings, Pancreas"
"311","C0018257","D016352","1021875","Group Home"
"312","C0018257","D016352","1021875","Group Homes"
"313","C0005844","D001788","86911","Grouping, Blood"
"314","C0035960","D019035","1021907","Health Center, Rural"
"315","C0035960","D019035","1021907","Health Centers, Rural"
"316","C0026331","D008952","1021876","Health Unit, Mobile"
"317","C0026331","D008952","1021876","Health Units, Mobile"
"318","C0018795","D006328","1013071","Heart Catheterizations"
"319","C0018823","D016027","33945","Heart Grafting"
"320","C0018823","D016027","33945","Heart Graftings"
"321","C0018833","D016041","1006332","Heart Lung Transplantation"
"322","C0018823","D016027","33945","Heart Transplantation"
"323","C0018823","D016027","33945","Heart Transplantations"
"324","C0018833","D016041","1006332","Heart-Lung Grafting"
"325","C0018833","D016041","1006332","Heart-Lung Graftings"
"326","C0018833","D016041","1006332","Heart-Lung Transplantation"
"327","C0018833","D016041","1006332","Heart-Lung Transplantations"
"328","C0018904","D006385","86280","Hemagglutination Inhibition Tests"
"329","C0018935","D006400","85014","Hematocrit"
"330","C0018935","D006400","85014","Hematocrits"
"331","C0018990","D006428","27290","Hemipelvectomies"
"332","C0018990","D006428","27290","Hemipelvectomy"
"333","C0019004","D006435","1012752","Hemodialyses"
"334","C0019063","D006464","90997","Hemoperfusion"
"335","C0019063","D006464","90997","Hemoperfusions"
"336","C0019063","D006464","90997","Hemosorptions"
"337","C0019144","D006498","1007804","Hepatectomies"
"338","C0019144","D006498","1007804","Hepatectomy"
"339","C0032722","D011171","47701","Hepatic Portoenterostomies"
"340","C0023911","D016031","1007811","Hepatic Transplantations"
"341","C0020043","D006792","99600","Home Visit"
"342","C0020043","D006792","1013774","Home Visit"
"343","C0018257","D016352","1021875","Home, Group"
"344","C0018257","D016352","1021875","Homes, Group"
"345","C0085555","D017051","1021890","Hospice Care"
"346","C0020043","D006792","99600","House Calls"
"347","C0020043","D006792","1013774","House Calls"
"348","C0020699","D007044","1013911","Hysterectomies"
"349","C0020699","D007044","1013911","Hysterectomy"
"350","C0020710","D015907","58555","Hysteroscopies"
"351","C0020710","D015907","58555","Hysteroscopy"
"352","C0020883","D007081","44310","Ileostomies"
"353","C0023985","D007081","44316","Ileostomies, Loop"
"354","C0020883","D007081","44310","Ileostomy"
"355","C0017231","D005779","1011937","Immunodiffusion"
"356","C0017231","D005779","1011937","Immunodiffusions"
"357","C0020997","D007122","1011933","Immunoelectrophoresis"
"358","C0021001","D007123","86327","Immunoelectrophoresis, Two Dimensional"
"359","C0021001","D007123","86327","Immunoelectrophoresis, Two-Dimensional"
"360","C0021027","D007136","1011980","Immunoglobulins"
"361","C0021044","D007150","88342","Immunohistochemistry"
"362","C0021044","D007150","88341","Immunohistochemistry"
"363","C0021044","D007150","88344","Immunohistochemistry"
"364","C0023311","D019654","66985","Implantation, Intraocular Lens"
"365","C0023311","D019654","66985","Implantations, Intraocular Lens"
"366","C0015915","D005307","1008937","In Vitro Fertilizations"
"367","C0021440","D007262","96365","Infusion, Intravenous"
"368","C0021440","D007262","96367","Infusion, Intravenous"
"369","C0021440","D007262","96368","Infusion, Intravenous"
"370","C0021440","D007262","96366","Infusion, Intravenous"
"371","C0021440","D007262","96365","Infusions, Intravenous"
"372","C0021440","D007262","96367","Infusions, Intravenous"
"373","C0021440","D007262","96368","Infusions, Intravenous"
"374","C0021440","D007262","96366","Infusions, Intravenous"
"375","C0018904","D006385","86280","Inhibition Test, Hemagglutination"
"376","C0018904","D006385","86280","Inhibition Tests, Hemagglutination"
"377","C0021490","D015552","11901","Injections, Intralesional"
"378","C0021490","D015552","11900","Injections, Intralesional"
"379","C0021490","D015552","1003286","Injections, Intralesional"
"380","C0021587","D007315","1008854","Insemination, Artificial"
"381","C0021587","D007315","1008854","Inseminations, Artificial"
"382","C0021917","D000283","51700","Instillation, Intravesical"
"383","C0021917","D000283","51700","Instillations, Bladder"
"384","C0021917","D000283","51700","Instillations, Intravesical"
"385","C0016999","D015181","58976","Intrafallopian Transfer, Gamete"
"386","C0023311","D019654","66985","Intraocular Lens Implantation"
"387","C0023311","D019654","66985","Intraocular Lens Implantations"
"388","C0005843","D001805","36460","Intrauterine Blood Transfusion"
"389","C0005843","D001805","36460","Intrauterine Blood Transfusions"
"390","C0005843","D001805","36460","Intrauterine Transfusions"
"391","C0021440","D007262","96365","Intravenous Infusion"
"392","C0021440","D007262","96367","Intravenous Infusion"
"393","C0021440","D007262","96368","Intravenous Infusion"
"394","C0021440","D007262","96366","Intravenous Infusion"
"395","C0021917","D000283","51700","Intravesical Instillations"
"396","C0043162","D014916","77470","Irradiation, Whole Body"
"397","C0043162","D014916","77470","Irradiations, Total Body"
"398","C0043162","D014916","77470","Irradiations, Whole-Body"
"399","C0031148","D010533","49084","Irrigations, Peritoneal"
"400","C0022377","D007582","44310","Jejunostomies"
"401","C0022377","D007582","44310","Jejunostomy"
"402","C0010042","D016039","1009786","Keratoplasties"
"403","C0010042","D016039","1009787","Keratoplasties"
"404","C0022591","D016039","65710","Keratoplasties, Lamellar"
"405","C0022607","D007646","65771","Keratotomies, Radial"
"406","C0022607","D007646","65771","Keratotomy, Radial"
"407","C0022671","D016030","1008098","Kidney Grafting"
"408","C0022671","D016030","1008098","Kidney Transplantation"
"409","C0022671","D016030","1008098","Kidney Transplantations"
"410","C0022591","D016039","65710","Lamellar Keratoplasties"
"411","C0022591","D016039","65710","Lamellar Keratoplasty"
"412","C0023065","D007825","1005819","Laryngectomies"
"413","C0023065","D007825","1005815","Laryngectomies"
"414","C0023065","D007825","1005819","Laryngectomy"
"415","C0023065","D007825","1005815","Laryngectomy"
"416","C0023072","D007828","1005837","Laryngoscopies"
"417","C0023072","D007828","1005837","Laryngoscopy"
"418","C0031148","D010533","49084","Lavages, Peritoneal"
"419","C0023311","D019654","66985","Lens Implantation, Intraocular"
"420","C0023311","D019654","66985","Lens Implantations, Intraocular"
"421","C0023508","D007958","85004","Leukocyte Count"
"422","C0023508","D007958","85004","Leukocyte Counts"
"423","C0023508","D007958","85004","Leukocyte Numbers"
"424","C0086548","D017708","86950","Leukocyte Transfusion"
"425","C0086548","D017708","86950","Leukocyte Transfusions"
"426","C0023690","D008026","1006815","Ligation"
"427","C0023690","D008026","1006815","Ligations"
"428","C0520483","D013246","58611","Ligations, Tubal"
"429","C0023911","D016031","1007811","Liver Grafting"
"430","C0023911","D016031","1007811","Liver Transplantation"
"431","C0023911","D016031","1007811","Liver Transplantations"
"432","C0023985","D007081","44316","Loop Ileostomies"
"433","C0024128","D016040","32851","Lung Grafting"
"434","C0024128","D016040","1006036","Lung Grafting"
"435","C0024128","D016040","32851","Lung Graftings"
"436","C0024128","D016040","1006036","Lung Graftings"
"437","C0024128","D016040","32851","Lung Transplantation"
"438","C0024128","D016040","1006036","Lung Transplantation"
"439","C0024128","D016040","32851","Lung Transplantations"
"440","C0024128","D016040","1006036","Lung Transplantations"
"441","C0023509","D007959","86821","Lymphocyte Culture Test, Mixed"
"442","C0039194","D013601","1011953","Lymphocyte, Thymus-Dependent"
"443","C0039194","D013601","1011953","Lymphocytes, Thymus-Dependent"
"444","C0024485","D008279","76498","Magnetic Resonance Imaging"
"445","C0024487","D009682","76390","Magnetic Resonance Spectroscopies"
"446","C0024487","D009682","76390","Magnetic Resonance Spectroscopy"
"447","C0085076","D016462","19366","Mammaplasties"
"448","C0085076","D016462","19366","Mammaplasty"
"449","C0024881","D008408","1015054","Mammectomies"
"450","C0085076","D016462","19366","Mammoplasties"
"451","C0949744","D026301","98925","Manipulation, Osteopathic"
"452","C0949744","D026301","98928","Manipulation, Osteopathic"
"453","C0949744","D026301","98927","Manipulation, Osteopathic"
"454","C0949744","D026301","98929","Manipulation, Osteopathic"
"455","C0949744","D026301","98926","Manipulation, Osteopathic"
"456","C0949744","D026301","1013559","Manipulation, Osteopathic"
"457","C0037813","D013058","83789","Mass Spectrum Analyses"
"458","C0024881","D008408","1015054","Mastectomies"
"459","C0024885","D015412","19301","Mastectomies, Partial"
"460","C0024885","D015412","1014812","Mastectomies, Partial"
"461","C0024884","D015409","19305","Mastectomies, Radical"
"462","C0024885","D015412","19301","Mastectomies, Segmental"
"463","C0024885","D015412","1014812","Mastectomies, Segmental"
"464","C0024887","D015414","19304","Mastectomies, Subcutaneous"
"465","C0024881","D008408","1015054","Mastectomy"
"466","C0024884","D015409","19305","Mastectomy, Radical"
"467","C0024885","D015412","19301","Mastectomy, Segmental"
"468","C0024885","D015412","1014812","Mastectomy, Segmental"
"469","C0024887","D015414","19304","Mastectomy, Subcutaneous"
"470","C0025065","D008481","1006942","Mediastinoscopies"
"471","C0025065","D008481","1027833","Mediastinoscopies"
"472","C0025065","D008481","1006942","Mediastinoscopy"
"473","C0025065","D008481","1027833","Mediastinoscopy"
"474","C0013961","D004632","ET","Medical Service, Emergency"
"475","C0016263","D005434","88184","Microfluorimetry, Flow"
"476","C0016263","D005434","88185","Microfluorimetry, Flow"
"477","C0016263","D005434","88184","Microfluorometries, Flow"
"478","C0016263","D005434","88185","Microfluorometries, Flow"
"479","C0026331","D008952","1021876","Mobile Health Unit"
"480","C0026331","D008952","1021876","Mobile Health Units"
"481","C0038153","D013200","69650","Mobilizations, Stapes"
"482","C0015945","D005323","59051","Monitorings, Fetal"
"483","C0015945","D005323","59050","Monitorings, Fetal"
"484","C0027136","D009225","69620","Myringoplasties"
"485","C0027136","D009225","69610","Myringoplasties"
"486","C0027136","D009225","69620","Myringoplasty"
"487","C0027136","D009225","69610","Myringoplasty"
"488","C0027405","D009291","90865","Narcosyntheses"
"489","C0027695","D009392","1008084","Nephrectomies"
"490","C0027695","D009392","1008084","Nephrectomy"
"491","C0027902","D009483","96118","Neuropsychologic Test"
"492","C0027902","D009483","96119","Neuropsychologic Test"
"493","C0027902","D009483","96120","Neuropsychologic Test"
"494","C0027902","D009483","96118","Neuropsychological Tests"
"495","C0027902","D009483","96119","Neuropsychological Tests"
"496","C0027902","D009483","96120","Neuropsychological Tests"
"497","C0005845","D001806","84520","Nitrogen, Blood Urea"
"498","C0005845","D001806","80069","Nitrogen, Blood Urea"
"499","C0005845","D001806","80048","Nitrogen, Blood Urea"
"500","C0005845","D001806","80047","Nitrogen, Blood Urea"
"501","C0005771","D001772","1011761","Number, Blood Cell"
"502","C0005771","D001772","1011761","Numbers, Blood Cell"
"503","C0028655","D009721","SB","Nurse Midwife"
"504","C0028655","D009721","SB","Nurse Midwives"
"505","C0037265","D012866","1021887","Nursing Facility, Skilled"
"506","C0002922","D000773","1003124","Obstetric Anesthesia"
"507","C0002922","D000773","1003124","Obstetrical Anesthesia"
"508","C0029936","D010052","58925","Oophorectomies"
"509","C0029936","D010052","58940","Oophorectomies"
"510","C0029936","D010052","58943","Oophorectomies"
"511","C0029936","D010052","1008924","Oophorectomies"
"512","C0029085","D009884","92260","Ophthalmodynamometries"
"513","C0029085","D009884","92260","Ophthalmodynamometry"
"514","C0029090","D009887","1012822","Ophthalmoscopies"
"515","C0029090","D009887","1012822","Ophthalmoscopy"
"516","C0029189","D009919","1008559","Orchidectomies"
"517","C0029189","D009919","1008559","Orchiectomies"
"518","C0029189","D009919","1008559","Orchiectomy"
"519","C0034579","D011862","70355","Orthopantomographies"
"520","C0029392","D009996","1011849","Osmotic Fragility"
"521","C0029936","D010052","58925","Ovariectomies"
"522","C0029936","D010052","58940","Ovariectomies"
