"","HCPCS.Code","jump","increase","HCPCS.Description","year","count"
"110","80188",6.07692307692308,507.692307692308,"Primidone level","2012",13
"111","80202",2.42380952380952,142.380952380952,"Vancomycin (antibiotic) level","2012",210
"112","81000",2.30409356725146,130.409356725146,"Manual urinalysis test with examination using microscope","2012",342
"113","81001",2.41611670719,141.611670719,"Manual urinalysis test with examination using microscope","2012",5758
"114","81003",5.63970588235294,463.970588235294,"Automated urinalysis test","2012",272
"115","82040",2.42893725992318,142.893725992318,"Albumin (protein) level","2012",781
"116","82043",3.57317073170732,257.317073170732,"Urine microalbumin (protein) level","2012",164
"117","82140",3.65420560747664,265.420560747664,"Ammonia level","2012",321
"118","82150",5.1744966442953,417.44966442953,"Amylase (enzyme) level","2012",149
"119","82248",14.6258741258741,1362.58741258741,"Bilirubin level","2012",286
"120","82272",4.88732394366197,388.732394366197,"Stool analysis for blood","2012",71
"121","82306",5.34606569900688,434.606569900688,"Vitamin D-3 level","2012",1309
"122","82310",8.24096385542169,724.096385542169,"Calcium level","2012",83
"123","82374",7.32352941176471,632.352941176471,"Carbon dioxide (bicarbonate) level","2012",34
"124","82378",2.0126582278481,101.26582278481,"Carcinoembryonic antigen (CEA) protein level","2012",79
"125","82435",7.35294117647059,635.294117647059,"Blood chloride level","2012",34
"126","82533",6.15,515,"Cortisol (hormone) measurement","2012",20
"127","82550",3.82142857142857,282.142857142857,"Creatine kinase (cardiac enzyme) level","2012",224
"128","82553",3.59090909090909,259.090909090909,"Creatine kinase (cardiac enzyme) level","2012",22
"129","82565",6.70444444444444,570.444444444444,"Blood creatinine level","2012",450
"130","82570",5.21212121212121,421.212121212121,"Creatinine level to test for kidney function or muscle injury","2012",165
"131","82607",5.11826452064381,411.826452064381,"Cyanocobalamin (vitamin B-12) level","2012",1429
"132","82668",6.8,580,"Erythropoietin (protein) level","2012",15
"133","82728",3.36763129689175,236.763129689175,"Ferritin (blood protein) level","2012",933
"134","82746",4.77328843995511,377.328843995511,"Folic acid level","2012",891
"135","82784",11.2857142857143,1028.57142857143,"Gammaglobulin (immune system protein) measurement","2012",28
"136","82803",4.36,336,"Blood gases measurement","2012",75
"137","82947",9.96858638743456,896.858638743456,"Blood glucose (sugar) level","2012",191
"138","82977",4.44,344,"Glutamyltransferase (liver enzyme) level","2012",25
"139","83036",3.16638900458142,216.638900458142,"Hemoglobin A1C level","2012",4802
"140","83520",2.90909090909091,190.909090909091,"Measurement of substance using immunoassay technique","2012",11
"141","83540",3.65896487985213,265.896487985213,"Iron level","2012",1082
"142","83550",3.46083550913838,246.083550913838,"Iron binding capacity","2012",766
"143","83615",3.10891089108911,210.891089108911,"Lactate dehydrogenase (enzyme) level","2012",101
"144","83690",5.96240601503759,496.240601503759,"Lipase (fat enzyme) level","2012",133
"145","83921",3,200,"Organic acid level","2012",33
"146","83935",5.45454545454545,445.454545454545,"Urine osmolality (concentration) measurement","2012",11
"147","84075",2.03448275862069,103.448275862069,"Phosphatase (enzyme) level","2012",87
"148","84100",3.22765957446809,222.765957446809,"Phosphate level","2012",470
"149","84132",3.5968992248062,259.68992248062,"Blood potassium level","2012",516
"150","84146",4.72222222222222,372.222222222222,"Prolactin (milk producing hormone) level","2012",18
"151","84155",3.98540145985401,298.540145985401,"Total protein level, blood","2012",137
"152","84156",3.63636363636364,263.636363636364,"Total protein level, urine","2012",33
"153","84295",7.31325301204819,631.325301204819,"Blood sodium level","2012",83
"154","84300",5.53846153846154,453.846153846154,"Urine sodium level","2012",13
"155","84403",5.33333333333333,433.333333333333,"Testosterone (hormone) level","2012",15
"156","84436",3.48815165876777,248.815165876777,"Thyroxine (thyroid chemical) measurement","2012",633
"157","84439",5.28132387706856,428.132387706856,"Thyroxine (thyroid chemical) measurement","2012",846
"158","84443",3.27193548387097,227.193548387097,"Blood test, thyroid stimulating hormone (TSH)","2012",6200
"159","84450",3.89285714285714,289.285714285714,"Liver enzyme (SGOT), level","2012",224
"160","84460",3.29428571428571,229.428571428571,"Liver enzyme (SGPT), level","2012",350
"161","84466",2.71544715447154,171.544715447154,"Transferrin (iron binding protein) level","2012",123
"162","84479",3.63257575757576,263.257575757576,"Thyroid hormone evaluation","2012",264
"163","84480",7.99090909090909,699.090909090909,"Thyroid hormone, T3 measurement","2012",110
"164","84481",3.22516556291391,222.516556291391,"Thyroid hormone, T3 measurement","2012",151
"165","84520",8.53511705685619,753.511705685619,"Urea nitrogen level to assess kidney function","2012",299
"166","84550",5.39951573849879,439.951573849879,"Uric acid level, blood","2012",413
"167","85007",24.0574712643678,2305.74712643678,"Microscopic examination for white blood cells with manual cell count","2012",87
"168","85014",3.8734693877551,287.34693877551,"Red blood cell concentration measurement","2012",490
"169","85018",3.68681318681319,268.681318681319,"Hemoglobin measurement","2012",546
"170","85025",2.34816993464052,134.816993464052,"Complete blood cell count (red cells, white blood cell, platelets), automated test","2012",15300
"171","85027",65.2568306010929,6425.68306010929,"Complete blood cell count (red cells, white blood cell, platelets), automated test","2012",183
"172","85045",13.75,1275,"Red blood count, automated test","2012",32
"173","85652",2.51851851851852,151.851851851852,"Red blood cell sedimentation rate, to detect inflammation","2012",27
"174","85730",2.6241610738255,162.41610738255,"Coagulation assessment blood test","2012",298
"175","86038",5.02702702702703,402.702702702703,"Screening test for autoimmune disorder","2012",37
"176","86039",3.63636363636364,263.636363636364,"Measurement of antibody for assessment of autoimmune disorder","2012",11
"177","86140",3.7344398340249,273.44398340249,"Measurement C-reactive protein for detection of infection or inflammation","2012",241
"178","86300",2.25,125,"Immunologic analysis for detection of tumor antigen","2012",12
"179","86431",13.4166666666667,1241.66666666667,"Rheumatoid factor level","2012",12
"180","87040",2.89225589225589,189.225589225589,"Bacterial blood culture","2012",297
"181","87046",20.5333333333333,1953.33333333333,"Stool culture","2012",15
"182","87071",52.2777777777778,5127.77777777778,"Bacterial culture and colony count","2012",18
"183","87081",3.86842105263158,286.842105263158,"Screening test for pathogenic organisms","2012",76
"184","87086",2.51724754244861,151.724754244861,"Bacterial colony count, urine","2012",5595
"185","87147",16.7857142857143,1578.57142857143,"Identification of organisms by immunologic analysis","2012",14
"186","87177",7.06451612903226,606.451612903226,"Smear for parasites","2012",31
"187","87184",36.5333333333333,3553.33333333333,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)","2012",15
"188","87205",4.81976744186047,381.976744186047,"Special stain for microorganism","2012",344
"189","87804",19.3,1830,"Detection test for Influenza virus","2012",80
"190","87804",19.3,1830,"Detection test for influenza virus","2012",80
"191","88142",2.9125,191.25,"Pap test (Pap smear)","2012",80
"192","88356",2.5,150,"Microscopic genetic analysis of nerve tissue","2012",104
"193","90662",3.09826589595376,209.826589595376,"Vaccine for influenza injection","2012",1038
"194","90662",3.09826589595376,209.826589595376,"Vaccine for influenza for injection into muscle","2012",1038
"195","90670",38.8299319727891,3782.99319727891,"Pneumococcal vaccine for injection","2012",147
"196","90670",38.8299319727891,3782.99319727891,"Pneumococcal vaccine for injection into muscle","2012",147
"197","90867",2.59375,159.375,"Transcranial magnetic stimulation initial mapping motor threshold determination delivery and management","2012",32
"198","90867",2.59375,159.375,"Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression)","2012",32
"199","90868",4.57377049180328,357.377049180328,"Transcranial magnetic stimulation subsequent delivery and management per session","2012",61
"200","90868",4.57377049180328,357.377049180328,"Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression), per session","2012",61
"201","90993",2.46666666666667,146.666666666667,"Dialysis training, patient helper, course not completed","2012",15
"202","91037",2.13853258081067,113.853258081067,"Monitoring of gastroesophageal reflux including analysis and interpretation","2012",1949
"203","91132",6.76923076923077,576.923076923077,"Recording of gastrointestinal electrical activity of stomach","2012",13
"204","92140",2.75961538461538,175.961538461538,"Glaucoma testing of eye fluid pressure","2012",104
"205","92283",2.03636363636364,103.636363636364,"Extended color vision examination","2012",110
"206","92284",2.11392405063291,111.392405063291,"Evaluation of eye adaptation to light and dark (rods and cones)","2012",79
"207","92499",4,300,"Service or surgery of the eye","2012",50
"208","92507",20,1900,"Treatment of speech, language, voice, communication, or hearing processing disorder","2012",15
"209","92507",20,1900,"Treatment of speech, language, voice, communication, and/or hearing processing disorder","2012",15
"210","92526",2.11111111111111,111.111111111111,"Treatment of swallowing or oral feeding function","2012",117
"211","92526",2.11111111111111,111.111111111111,"Treatment of swallowing and/or oral feeding function","2012",117
"212","92547",2.34375,134.375,"Use of vertical electrodes during eye or balance evaluation","2012",96
"213","92552",2.03448275862069,103.448275862069,"Pure tone air conduction threshold hearing assessment","2012",58
"214","92556",4.88,388,"Assessment of hearing loss and speech recognition","2012",25
"215","92567",2.01589682063587,101.589682063587,"Eardrum testing using ear probe","2012",6668
"216","92604",2.08636363636364,108.636363636364,"Analysis and subsequent reprogramming of inner ear (cochlear) implant, patient age 7 years or older","2012",220
"217","92604",2.08636363636364,108.636363636364,"Analysis and reprogramming of inner ear (cochlear) implant, patient age 7 years or older","2012",220
"218","92626",4.10648148148148,310.648148148148,"Evaluation of hearing rehabilitation","2012",216
"219","92626",4.10648148148148,310.648148148148,"Evaluation of hearing rehabilitation first hour","2012",216
"220","92997",2.5,150,"Balloon catheter opening of major lung artery (pulmonary)","2012",38
"221","92997",2.5,150,"Balloon catheter opening of major lung artery (pulmonary), accessed through the skin","2012",38
"222","93000",2.05601659751037,105.601659751037,"Routine EKG using at least 12 leads including interpretation and report","2012",7230
"223","93040",2.68421052631579,168.421052631579,"Tracing of electrical activity of heart using 1-3 leads with interpretation and report","2012",57
"224","93285",2.47547797173732,147.547797173732,"Evaluation, testing, and programming adjustment of implantable, patient activated heart recorder system including physician analysis, review, and report","2012",1203
"225","93291",2.62696522153406,162.696522153406,"Evaluation of implantable heart recorder system including physician analysis, review, and report","2012",2099
"226","93298",6.61423220973783,561.423220973783,"Remote evaluation of implantable heart recorder system including physician analysis, review, and report up to 30 days","2012",1335
"227","93298",6.61423220973783,561.423220973783,"Remote evaluations of implantable heart recorder system including physician analysis, review, and report up to 30 days","2012",1335
"228","93750",2.70669698222406,170.669698222406,"Evaluation of lower heart chamber assist device with physician analysis","2012",4838
"229","93998",3,200,"Noninvasive vascular diagnostic study","2012",12
"230","94452",2.19075144508671,119.075144508671,"Testing of lung function at high altitude","2012",173
"231","94453",2.62307692307692,162.307692307692,"Testing of lung function at high altitude with supplemental oxygen delivery","2012",130
"232","94770",4.65116279069767,365.116279069767,"Measurement of exhaled carbon dioxide gas","2012",43
"233","95145",2.18181818181818,118.181818181818,"Preparation and provision of single stinging insect venom for allergen immunotherapy","2012",22
"234","95147",2.95454545454545,195.454545454545,"Preparation and provision of 3 single stinging insect venom for allergen immunotherapy","2012",22
"235","95148",2.8125,181.25,"Preparation and provision of 4 single stinging insect venom for allergen immunotherapy","2012",16
"236","95800",6.09567901234568,509.567901234568,"Study of sleep patterns","2012",324
"237","95801",4.45454545454545,345.454545454545,"Study of sleep patterns","2012",132
"238","95806",5.31466395112016,431.466395112016,"Unattended sleep study with recording of heart rate, oxygen, respiratory airflow and effort","2012",1964
"239","95834",2.11111111111111,111.111111111111,"Manual muscle testing of whole body including hands","2012",63
"240","95981",2.58426966292135,158.426966292135,"Electronic analysis of implanted gastric neurostimulator generator or transmitter","2012",89
"241","95982",2.17532467532468,117.532467532468,"Electronic analysis and programming of implanted gastric neurostimulator generator or transmitter","2012",154
"242","96111",2.91666666666667,191.666666666667,"Developmental testing","2012",24
"243","96920",2.21739130434783,121.739130434783,"Laser treatment (total area less than 250 sq centimeters) for inflammatory skin disease","2012",92
"244","96922",2.92857142857143,192.857142857143,"Laser treatment (over 500 sq centimeters) for inflammatory skin disease","2012",14
"245","97762",2.2972972972973,129.72972972973,"Evaluation of orthotic or prosthetic use, each 15 minutes","2012",37
"246","98929",2.08991494532199,108.991494532199,"Osteopathic manipulative treatment to 9-10 body regions","2012",823
"247","G0009",3.03024830699774,203.024830699774,"Administration of pneumococcal vaccine","2012",2215
"248","G0108",2.11767866738313,111.767866738313,"Diabetes outpatient self-management training services, individual, per 30 minutes","2012",1861
"249","G0389",2.39750273540581,139.750273540581,"Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening","2012",15537
"250","G0398",2.93548387096774,193.548387096774,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation","2012",31
"251","G0399",12.7142857142857,1171.42857142857,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation","2012",154
"252","G0400",3.94117647058824,294.117647058824,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels","2012",17
"253","G0407",2.7906976744186,179.06976744186,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth","2012",860
"254","G0408",4.65714285714286,365.714285714286,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth","2012",420
"255","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examination for prostate needle saturation biopsy sampling, 1-20 specimens","2012",1936
"256","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations for prostate needle saturation biopsy sampling, 10-20 specimens","2012",1936
"257","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method, 10-20 specimens","2012",1936
"258","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method","2012",1936
"259","G0424",2.08333333333333,108.333333333333,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day","2012",72
"260","G0425",5.18165938864629,418.165938864629,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth","2012",1145
"261","G0426",2.75485188968335,175.485188968335,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth","2012",979
"262","G0427",2.53678077203205,153.678077203205,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth","2012",1373
"263","G0437",2.61183431952663,161.183431952663,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes","2012",845
"264","G0439",3.88804715127701,288.804715127701,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit","2012",63625
"265","G0442",5.00892857142857,400.892857142857,"Annual alcohol misuse screening, 15 minutes","2012",224
"266","G0444",11.5133689839572,1051.33689839572,"Annual depression screening, 15 minutes","2012",374
"267","G0446",3.29059829059829,229.059829059829,"Intensive behavioral therapy to reduce cardiovascular disease risk, individual, face-to-face, bi-annual, 15 minutes","2012",117
"268","G0446",3.29059829059829,229.059829059829,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes","2012",117
"269","J0585",7.93800539083558,693.800539083558,"Injection, onabotulinumtoxina, 1 unit","2012",371
"270","J0696",2.70769230769231,170.769230769231,"Injection, ceftriaxone sodium, per 250 mg","2012",195
"271","J0702",2.33333333333333,133.333333333333,"Injection, betamethasone acetate 3mg and betamethasone sodium phosphate 3mg","2012",177
"272","J1020",3.57894736842105,257.894736842105,"Injection, methylprednisolone acetate, 20 mg","2012",38
"273","J1030",2.02912621359223,102.912621359223,"Injection, methylprednisolone acetate, 40 mg","2012",721
"274","J1885",4.32394366197183,332.394366197183,"Injection, ketorolac tromethamine, per 15 mg","2012",142
"275","J2785",2.5,150,"Injection, regadenoson, 0.1 mg","2012",24
"276","J2785",2.5,150,"Injection, regadenoson, 0. 1 mg","2012",24
"277","J2920",2.14285714285714,114.285714285714,"Injection, methylprednisolone sodium succinate, up to 40 mg","2012",21
"278","J2930",29.125,2812.5,"Injection, methylprednisolone sodium succinate, up to 125 mg","2012",16
"279","J3010",18.5909090909091,1759.09090909091,"Injection, fentanyl citrate, 0.1 mg","2012",22
"280","J3010",18.5909090909091,1759.09090909091,"Injection, fentanyl citrate, 0. 1 mg","2012",22
"281","J7323",3.5,250,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose","2012",48
"282","J7324",3.75806451612903,275.806451612903,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose","2012",62
"283","J7620",4.32727272727273,332.727272727273,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme","2012",55
"284","J7620",4.32727272727273,332.727272727273,"Albuterol, up to 2. 5 mg and ipratropium bromide, up to 0. 5 mg, fda-approved final product, non-compounded, administered through dme","2012",55
"285","P9603",2.28250141394874,128.250141394874,"Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled.","2012",90173
"286","P9603",2.28250141394874,128.250141394874,"Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled","2012",90173
"287","Q3014",108,10700,"Telehealth originating site facility fee","2012",13
"288","Q4038",2.125,112.5,"Cast supplies, short leg cast, adult (11 years +), fiberglass","2012",16
"289","Q4110",5.30769230769231,430.769230769231,"Primatrix, per square centimeter","2012",13
"290","Q9965",18.3636363636364,1736.36363636364,"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml","2012",11
"291","0159T",3.24659653465347,224.659653465347,"Computer-aided detection and computer algorithm analysis of breast MRI image data","2013",7331
